"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 13 02:06:01 GMT 2023","Thu Apr 13 02:06:35 GMT 2023","33532","uat","example.spec.ts","","","","Add Reading",""
"passed","Thu Apr 13 02:05:30 GMT 2023","Thu Apr 13 02:05:32 GMT 2023","2011","uat","example.spec.ts","","","","login api",""
