"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 02:07:07 GMT 2023","Sun Apr 09 02:07:09 GMT 2023","1952","uat","example.spec.ts","","","","login api",""
"broken","Sun Apr 09 02:07:38 GMT 2023","Sun Apr 09 02:08:12 GMT 2023","33390","uat","example.spec.ts","","","","Add Reading",""
