"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 15:26:28 GMT 2023","Fri Apr 07 15:27:02 GMT 2023","33342","uat","example.spec.ts","","","","Add Reading",""
"passed","Fri Apr 07 15:25:56 GMT 2023","Fri Apr 07 15:25:58 GMT 2023","2086","uat","example.spec.ts","","","","login api",""
