"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 02:05:30 GMT 2023","Tue Apr 11 02:05:32 GMT 2023","1463","uat","example.spec.ts","","","","login api",""
"broken","Tue Apr 11 02:06:01 GMT 2023","Tue Apr 11 02:06:34 GMT 2023","33077","uat","example.spec.ts","","","","Add Reading",""
