"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 02:06:55 GMT 2023","Sat Apr 15 02:06:57 GMT 2023","1798","uat","example.spec.ts","","","","login api",""
"broken","Sat Apr 15 02:07:27 GMT 2023","Sat Apr 15 02:08:01 GMT 2023","33796","uat","example.spec.ts","","","","Add Reading",""
