"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 17 02:08:07 GMT 2023","Mon Apr 17 02:08:40 GMT 2023","33343","uat","example.spec.ts","","","","Add Reading",""
"passed","Mon Apr 17 02:07:36 GMT 2023","Mon Apr 17 02:07:37 GMT 2023","1428","uat","example.spec.ts","","","","login api",""
